processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BLPAF417-07	06-SRNP-105116	527785	 	06-SRNP-105116	Area de Conservacion Guanacaste	BOLD:AAA4308	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24034	Gonodonta immacula	 	 	Daniel H. Janzen	 	 	F.Quesada&H.Cambronero	2006-06-25	A	 	S	light trap	light trap	10.856	-85.67	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	La Angostura	237789	http://v3.boldsystems.org/pics/BLPAF/06-SRNP-105116_DHJ605116+1158689010.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	681541|681540	http://trace.boldsystems.org/traceIO/bold.org/476566|http://trace.boldsystems.org/traceIO/bold.org/476565	2007-02-07 06:57:06|2007-02-07 05:26:24	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPAH389-07	06-SRNP-106968	529637	 	06-SRNP-106968	Area de Conservacion Guanacaste	BOLD:AAA4308	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24034	Gonodonta immacula	 	 	Daniel H. Janzen	 	 	H.Cambronero&F.Quesada	2006-08-29	A	 	S	light trap	light trap	10.813	-85.402	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Canopy Tours	489051	http://v3.boldsystems.org/pics/BLNOB/06-SRNP-106968_DHJ606968+1162494746.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	679569|679568	http://trace.boldsystems.org/traceIO/bold.org/474594|http://trace.boldsystems.org/traceIO/bold.org/474593	2007-02-17 04:01:23|2007-02-17 02:30:38	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPBA266-07	06-SRNP-107409	566105	 	06-SRNP-107409	Area de Conservacion Guanacaste	BOLD:AAA4300	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24027	Gonodonta sicheas	 	 	Daniel H. Janzen	 	 	R.Franco&S.Rios	2006-09-22	A	 	S	light trap	light trap	10.813	-85.402	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Canopy Tours	243558	http://v3.boldsystems.org/pics/BLPBA/06-SRNP-107409_DHJ607409+1199992020.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	731544|731543	http://trace.boldsystems.org/traceIO/bold.org/521791|http://trace.boldsystems.org/traceIO/bold.org/521790	2007-06-27 07:38:45|2007-06-27 06:07:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPBE279-07	07-SRNP-101218	623437	 	07-SRNP-101218	Area de Conservacion Guanacaste	BOLD:AAA4308	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24034	Gonodonta immacula	 	 	Daniel H. Janzen	 	 	S Rios&f Quesada	2007-02-17	A	 	S	light trap	light trap	10.989	-85.426	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Estacion Pitilla	226328	http://v3.boldsystems.org/pics/BLPBE/07-SRNP-101218_DHJ611182+1174065248.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	760521|760615	http://trace.boldsystems.org/traceIO/bold.org/548377|http://trace.boldsystems.org/traceIO/bold.org/548471	2007-09-18 19:21:55|2007-09-18 20:53:09	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCC475-08	07-SRNP-106960	734802	 	07-SRNP-106960	Area de Conservacion Guanacaste	BOLD:AAA4300	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24027	Gonodonta sicheas	 	 	Daniel H. Janzen	 	 	R.Franco&S.Rios	2007-08-11	A	 	S	light trap	light trap	10.884	-85.473	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Estacion Gongora	388026	http://v3.boldsystems.org/pics/BLNOA/07-SRNP-106960_DHJ616924+1188495790.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	931829|931923	http://trace.boldsystems.org/traceIO/bold.org/709441|http://trace.boldsystems.org/traceIO/bold.org/709535	2008-04-19 23:56:54|2008-04-20 01:27:57	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCD544-08	07-SRNP-107969	768384	 	07-SRNP-107969	Area de Conservacion Guanacaste	BOLD:AAA4300	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24027	Gonodonta sicheas	 	 	Daniel H. Janzen	 	 	R.Franco, F.Quesada	2007-08-12	A	 	S	light trap	light trap	10.894	-85.436	 	 	Costa Rica	Guanacaste	Area De Conservacion Guanacaste	Roca Verde	389035	http://v3.boldsystems.org/pics/BLNOA/07-SRNP-107969_DHJ617933+1191501850.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	955431|955525	http://trace.boldsystems.org/traceIO/bold.org/732602|http://trace.boldsystems.org/traceIO/bold.org/732696	2008-05-30 20:13:45|2008-05-30 21:45:03	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
BLPCK677-08	08-SRNP-100770	868328	 	08-SRNP-100770	Research Collection of D. H. Janzen & W. Hallwachs	BOLD:AAA4308	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24034	Gonodonta immacula	 	 	Daniel H. Janzen	 	 	S.Rios&R.Franco	2008-02-06	A	 	S	light trap	light trap	10.973	-85.315	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Jabalina, Manta Pizote	383222	http://v3.boldsystems.org/pics/BLNOA/08-SRNP-100770_DHJ624834+1214014414.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	1059962|1060056	http://trace.boldsystems.org/traceIO/bold.org/829045|http://trace.boldsystems.org/traceIO/bold.org/829139	2008-08-21 15:15:11|2008-08-21 16:45:52	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|COIeR1	COI-5P|COI-5P
BLPDU540-11	10-SRNP-109962	1800191	10-SRNP-109962	10-SRNP-109962	Area de Conservacion Guanacaste	BOLD:AAA4300	20	Arthropoda	82	Insecta	113	Lepidoptera	33532	Erebidae	24221	Calpinae	24025	Gonodonta	24027	Gonodonta sicheas	 	 	Daniel H. Janzen	 	 	H.Cambronero&S.Rios	2010-07-08	A	 	S	light trap	light trap	10.927	-85.468	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Laboratorio	1190671	http://v3.boldsystems.org/pics/BLPDU/10-SRNP-109962_DHJ654837+1309192634.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2808650|2808555	http://trace.boldsystems.org/traceIO/bold.org/2487254|http://trace.boldsystems.org/traceIO/bold.org/2487159	2011-03-20 09:05:49|2011-03-20 00:07:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
FBAPD132-11	BC ZSM HYM 08777	2083186	BC ZSM HYM 08777	BC ZSM HYM 08777	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAE2962	20	Arthropoda	82	Insecta	125	Hymenoptera	497	Halictidae	59655	Halictinae	2225	Halictus	20970	Halictus quadricinctus	 	 	Stefan Schmidt	 	 	C. Schmid-Egger	2011-04-19	A	F	S	 	 	48.087	7.692	 	 	Germany	Baden-Wuerttemberg	Freiburg	Kaiserstuhl, Vogelsangpass	1243861	http://v3.boldsystems.org/pics/FBAPD/BC_ZSM_HYM_08777+1312309328.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3243566|3243471	http://trace.boldsystems.org/traceIO/bold.org/2905977|http://trace.boldsystems.org/traceIO/bold.org/2905882	2011-08-02 16:19:28|2011-08-02 14:53:27	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
FBAPD586-11	BC ZSM HYM 08946	2141467	BC ZSM HYM 08946	BC ZSM HYM 08946	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAE2962	20	Arthropoda	82	Insecta	125	Hymenoptera	497	Halictidae	59655	Halictinae	2225	Halictus	20970	Halictus quadricinctus	 	 	Christian Schmid-Egger	 	 	F. Burger	2009-05-20	A	F	S	 	 	50.728	11.691	 	 	Germany	Thuringia	 	Lausnitz, Totenstein	1311139	http://v3.boldsystems.org/pics/FBAPD/BC_ZSM_HYM_08946+1315500454.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3462242|3462147	http://trace.boldsystems.org/traceIO/bold.org/3117030|http://trace.boldsystems.org/traceIO/bold.org/3116935	2011-10-13 06:46:47|2011-10-13 05:21:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
