processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BLPAB432-06	06-SRNP-101371	260434	 	06-SRNP-101371	Area de Conservacion Guanacaste	BOLD:AAA9148	20	Arthropoda	82	Insecta	113	Lepidoptera	675	Hesperiidae	69431	Eudaminae	958238	Cecropterus	1058062	Cecropterus dorantes	 	 	Daniel H. Janzen	 	 	J.D.Turner&N.Turner	2006-04-02	A	 	S	net	net	11.005	-85.475	 	 	Costa Rica	Guanacaste	Area de Conservacion Guanacaste	Maderos	117246	http://v3.boldsystems.org/pics/BLPAB/06-SRNP-101371_DHJ601371+1149286300.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	397648|397647	http://trace.boldsystems.org/traceIO/bold.org/205278|http://trace.boldsystems.org/traceIO/bold.org/205277	2006-06-15 21:34:15|2006-06-15 18:35:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKA488-09	UKLB6B07	1006850	 	RAB 229	Natural History Museum, London	BOLD:AAC2028	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7518	Udea	197750	Udea prunalis	 	 	 	 	 	RAB 229	2007-07-08	A	 	 	 	 	51.62	0.04	 	 	United Kingdom	England	Essex	Woodford Green	418772	http://v3.boldsystems.org/pics/CGUKA/IMG_0478+1238683294.JPG	CreativeCommons - Attribution	1309576|1309482	http://trace.boldsystems.org/traceIO/bold.org/1057297|http://trace.boldsystems.org/traceIO/bold.org/1057203	2009-03-25 09:03:28|2009-03-25 07:32:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKB596-09	UKLB17H09	1008369	 	CP 1392	Natural History Museum, London	BOLD:AAC6010	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7518	Udea	197743	Udea olivalis	 	 	 	 	 	CP 1392	2007-06-03	A	 	 	 	 	51.87	0.16	Google Earth 2009	 	United Kingdom	England	Hertfordshire	 	420337	http://v3.boldsystems.org/pics/CGUKB/IMG_1116+1238771630.JPG	CreativeCommons - Attribution	1309085|1308991	http://trace.boldsystems.org/traceIO/bold.org/1056808|http://trace.boldsystems.org/traceIO/bold.org/1056714	2009-03-24 20:56:08|2009-03-24 16:23:38	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKD104-09	UKLB33H06	1009919	 	OTL 13vii2007	Natural History Museum, London	BOLD:AAC6010	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7518	Udea	197743	Udea olivalis	 	 	 	 	 	OTL	 	A	 	 	 	 	50.733	-2.734	 	 	United Kingdom	England	 	 	421312	http://v3.boldsystems.org/pics/CGUKD/IMG_1553+1238791296.JPG	CreativeCommons - Attribution	1299795|1299700	http://trace.boldsystems.org/traceIO/bold.org/1047588|http://trace.boldsystems.org/traceIO/bold.org/1047494	2009-03-12 13:48:31|2009-03-12 12:17:52	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
CGUKD776-09	UKLB41B01	1070526	 	RJH1395	Natural History Museum, London	BOLD:AAC3729	20	Arthropoda	82	Insecta	113	Lepidoptera	24760	Crambidae	2143	Spilomelinae	7518	Udea	197737	Udea ferrugalis	 	 	 	 	 	 	2007-09-21	A	 	S	 	 	50.424	-4.042	 	 	United Kingdom	England	Devon	 	422448	http://v3.boldsystems.org/pics/CGUKD/IMG_2848+1239102740.JPG	CreativeCommons - Attribution	1340297|1340202	http://trace.boldsystems.org/traceIO/bold.org/1086966|http://trace.boldsystems.org/traceIO/bold.org/1086871	2009-04-18 09:40:04|2009-04-18 08:08:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
COLFF255-13	ZMUO.005860	3108647	ZMUO.005860	 	University of Oulu, Zoological Museum	BOLD:AAJ9656	20	Arthropoda	82	Insecta	413	Coleoptera	103769	Throscidae	 	 	167173	Trixagus	167174	Trixagus dermestoides	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2012-06-15	adult	 	S	 	 	57.016	16.118	 	 	Sweden	 	 	 	1962512	http://v3.boldsystems.org/pics/COLFF/ZMUO.005860+1365553428.JPG	CreativeCommons - Attribution Non-Commercial	5161717|5161527	http://trace.boldsystems.org/traceIO/bold.org/7008319|http://trace.boldsystems.org/traceIO/bold.org/7008129	2013-05-21 10:39:22|2013-05-21 10:37:51	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
GBACU1061-12	BC ZSM HYM 14836	2875072	BC ZSM HYM 14836	BC ZSM HYM 14836	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAF5985	20	Arthropoda	82	Insecta	125	Hymenoptera	70445	Crabronidae	 	 	91070	Trypoxylon	311750	Trypoxylon minus	 	 	Christian Schmid-Egger	 	 	C. Schmid-Egger	2011-07-16	A	F	S	 	 	47.82	7.63	 	 	Germany	Baden-Wuerttemberg	 	Muellheim, Exi	1825329	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_14836+1347396396.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4694059|4693964	http://trace.boldsystems.org/traceIO/bold.org/6541320|http://trace.boldsystems.org/traceIO/bold.org/6541225	2012-12-07 22:15:11|2012-12-07 20:44:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
GBACU203-12	BC ZSM HYM 13028	2605969	BC ZSM HYM 13028	BC ZSM HYM 13028	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAF5985	20	Arthropoda	82	Insecta	125	Hymenoptera	70445	Crabronidae	 	 	91070	Trypoxylon	311750	Trypoxylon minus	 	 	Christian Schmid-Egger	 	 	F. Burger	2010-06-30	A	F	S	 	 	43.133	16.733	 	 	Croatia	 	Split	Island Hvar	1651001	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_13028+1339093854.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5291050|5291001	http://trace.boldsystems.org/traceIO/bold.org/7137652|http://trace.boldsystems.org/traceIO/bold.org/7137603	2012-10-25 23:56:29|2012-10-26 07:02:50	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
GBACU2033-12	BC ZSM HYM 14763	2912387	BC ZSM HYM 14763	BC ZSM HYM 14763	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAF5986	20	Arthropoda	82	Insecta	125	Hymenoptera	70445	Crabronidae	 	 	91070	Trypoxylon	192965	Trypoxylon figulus	 	 	Christian Schmid-Egger	 	 	Schmid-Egger	2012-05-21	A	M	S	 	 	52.83	14.09	 	 	Germany	Brandenburg	 	Gabow	1835269	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_14763+1347474132.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4714491|4714396	http://trace.boldsystems.org/traceIO/bold.org/6561752|http://trace.boldsystems.org/traceIO/bold.org/6561657	2012-12-13 21:10:17|2012-12-13 19:39:20	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
GBACU3377-13	BC ZSM HYM 17627	3198375	BC ZSM HYM 17627	BC ZSM HYM 17627	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AEW5995	20	Arthropoda	82	Insecta	125	Hymenoptera	70445	Crabronidae	 	 	91070	Trypoxylon	192965	Trypoxylon figulus	 	 	Christian Schmid-Egger	 	 	Schmid-Egger	2012-07-18	A	F	S	 	 	47.87	7.56	 	 	Germany	Baden-Wuerttemberg	 	Grissheim	1937064	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_17627+1363017258.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5149740|5149645	http://trace.boldsystems.org/traceIO/bold.org/6996342|http://trace.boldsystems.org/traceIO/bold.org/6996247	2013-05-03 13:44:46|2013-05-03 13:50:32	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
