image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
1465954	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_09971+1324046466.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3686975|3686875	http://trace.boldsystems.org/traceIO/bold.org/5566639|http://trace.boldsystems.org/traceIO/bold.org/5566539	2012-01-10 16:52:59|2012-01-10 15:09:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1187050	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_06229+1309183690.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2831408|2830643	http://trace.boldsystems.org/traceIO/bold.org/2508420|http://trace.boldsystems.org/traceIO/bold.org/2507765	2011-03-27 09:07:35|2011-03-27 07:40:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1187051	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_06230+1309183686.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2831410|2830644	http://trace.boldsystems.org/traceIO/bold.org/2508421|http://trace.boldsystems.org/traceIO/bold.org/2507766	2011-03-27 09:07:35|2011-03-27 07:40:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1187052	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_06231+1309183686.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2831412|2830684	http://trace.boldsystems.org/traceIO/bold.org/2508422|http://trace.boldsystems.org/traceIO/bold.org/2507805	2011-03-27 09:07:35|2011-03-27 07:40:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1187053	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_06232+1309183684.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	2831414|2830784	http://trace.boldsystems.org/traceIO/bold.org/2508423|http://trace.boldsystems.org/traceIO/bold.org/2507904	2011-03-27 09:07:35|2011-03-27 07:40:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1243021	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_08041+1312306018.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3256292|3256197	http://trace.boldsystems.org/traceIO/bold.org/2918326|http://trace.boldsystems.org/traceIO/bold.org/2918231	2011-08-04 14:27:54|2011-08-04 12:49:34	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1243022	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_08042+1312306018.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3256293|3256198	http://trace.boldsystems.org/traceIO/bold.org/2918327|http://trace.boldsystems.org/traceIO/bold.org/2918232	2011-08-04 14:27:54|2011-08-04 12:49:34	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1243023	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_08043+1312306018.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3256294|3256199	http://trace.boldsystems.org/traceIO/bold.org/2918328|http://trace.boldsystems.org/traceIO/bold.org/2918233	2011-08-04 14:27:54|2011-08-04 12:49:34	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1243024	http://v3.boldsystems.org/pics/FBACB/BC_ZSM_HYM_08044+1312306018.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3256295|3256200	http://trace.boldsystems.org/traceIO/bold.org/2918329|http://trace.boldsystems.org/traceIO/bold.org/2918234	2011-08-04 14:27:54|2011-08-04 12:49:34	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
1835164	http://v3.boldsystems.org/pics/GBACU/BC_ZSM_HYM_14373+1345735118.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	4740133|4740038	http://trace.boldsystems.org/traceIO/bold.org/6587394|http://trace.boldsystems.org/traceIO/bold.org/6587299	2012-12-13 21:11:51|2012-12-13 19:40:08	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
